Strain	Date
hCoV-19/Sweden/16312789P/2021|EPI_ISL_2033624|2021-04-08	2021-04-08
hCoV-19/Sweden/16596499P/2021|EPI_ISL_2034597|2021-04-14	2021-04-14
hCoV-19/Spain/GA-CHUVI-51590021/2021|EPI_ISL_2086174|2021-04-26	2021-04-26
hCoV-19/England/ALDP-1560279/2021|EPI_ISL_2091931|2021-05-06	2021-05-06
hCoV-19/Italy/SIC-CQRC-21016029/2021|EPI_ISL_2092866|2021-03-04	2021-03-04
hCoV-19/Italy/SIC-CQRC-21016066/2021|EPI_ISL_2092867|2021-03-04	2021-03-04
hCoV-19/Italy/SIC-CQRC-21016067/2021|EPI_ISL_2092868|2021-03-04	2021-03-04
hCoV-19/Italy/SIC-CQRC-21016068/2021|EPI_ISL_2092869|2021-03-04	2021-03-04
hCoV-19/Italy/SIC-CQRC-21016076/2021|EPI_ISL_2092870|2021-03-05	2021-03-05
hCoV-19/Italy/SIC-CQRC-21016127/2021|EPI_ISL_2092871|2021-03-09	2021-03-09
hCoV-19/Italy/SIC-CQRC-21022114/2021|EPI_ISL_2092872|2021-03-19	2021-03-19
hCoV-19/Germany/BE-RKI-I-144640/2021|EPI_ISL_2128961|2021-05-07	2021-05-07
hCoV-19/Germany/RP-RKI-I-144646/2021|EPI_ISL_2128966|2021-05-07	2021-05-07
hCoV-19/Germany/BE-RKI-I-144651/2021|EPI_ISL_2128971|2021-05-07	2021-05-07
hCoV-19/Germany/RP-RKI-I-144653/2021|EPI_ISL_2128973|2021-05-07	2021-05-07
hCoV-19/Germany/BE-RKI-I-144655/2021|EPI_ISL_2128975|2021-05-07	2021-05-07
hCoV-19/Germany/BE-RKI-I-144656/2021|EPI_ISL_2128976|2021-05-07	2021-05-07
hCoV-19/Germany/RP-RKI-I-144661/2021|EPI_ISL_2128980|2021-05-07	2021-05-07
hCoV-19/Germany/RP-RKI-I-144665/2021|EPI_ISL_2128983|2021-05-07	2021-05-07
hCoV-19/Germany/BE-RKI-I-144673/2021|EPI_ISL_2128988|2021-05-04	2021-05-04
hCoV-19/Spain/CT-HUGTiPM015UW8G9/2021|EPI_ISL_2140632|2021-05-07	2021-05-07
hCoV-19/Latvia/2403/2021|EPI_ISL_2141965|2021-04-26	2021-04-26
hCoV-19/Philippines/PH-PGC-02422/2021|EPI_ISL_2155777|2021-01-09	2021-01-09
hCoV-19/India/TG-CCMB-CIA0857/2021|EPI_ISL_2157029|2021-03-18	2021-03-18
hCoV-19/India/TG-CCMB-CIA1401/2021|EPI_ISL_2157073|2021-04-19	2021-04-19
hCoV-19/Canada/ABPHL-07120/2021|EPI_ISL_2165901|2021-03-02	2021-03-02
hCoV-19/Canada/ABPHL-07125/2021|EPI_ISL_2165904|2021-03-02	2021-03-02
hCoV-19/Canada/ABPHL-07128/2021|EPI_ISL_2165905|2021-03-02	2021-03-02
hCoV-19/Canada/ABPHL-07129/2021|EPI_ISL_2165906|2021-03-02	2021-03-02
hCoV-19/Canada/ABPHL-07134/2021|EPI_ISL_2165910|2021-03-01	2021-03-01
hCoV-19/Canada/ABPHL-07135/2021|EPI_ISL_2165911|2021-03-02	2021-03-02
hCoV-19/Canada/ABPHL-07137/2021|EPI_ISL_2165912|2021-03-02	2021-03-02
hCoV-19/Canada/ABPHL-07138/2021|EPI_ISL_2165913|2021-03-01	2021-03-01
hCoV-19/Canada/ABPHL-07882/2021|EPI_ISL_2166395|2021-03-06	2021-03-06
hCoV-19/Canada/ABPHL-07922/2021|EPI_ISL_2166433|2021-03-05	2021-03-05
hCoV-19/Canada/ABPHL-10216/2021|EPI_ISL_2168101|2021-03-14	2021-03-14
hCoV-19/Canada/ABPHL-10218/2021|EPI_ISL_2168103|2021-03-14	2021-03-14
hCoV-19/Canada/ABPHL-11879/2021|EPI_ISL_2169499|2021-04-02	2021-04-02
hCoV-19/Canada/ABPHL-12367/2021|EPI_ISL_2169894|2021-04-05	2021-04-05
hCoV-19/Spain/MD-51424063/2021|EPI_ISL_2179748|2021-04-22	2021-04-22
hCoV-19/Spain/MD-51434333/2021|EPI_ISL_2179749|2021-04-21	2021-04-21
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-13242/2021|EPI_ISL_2194467|2021-05-03	2021-05-03
hCoV-19/USA/WV-WVU-WV118776/2021|EPI_ISL_2195785|2021-04-18	2021-04-18
hCoV-19/USA/WV-WVU-WV118777/2021|EPI_ISL_2195786|2021-04-18	2021-04-18
hCoV-19/USA/WV-WVU-WV118779/2021|EPI_ISL_2195787|2021-04-18	2021-04-18
hCoV-19/USA/WV-WVU-WV118785/2021|EPI_ISL_2195792|2021-04-19	2021-04-19
hCoV-19/USA/WV-WVU-WV118787/2021|EPI_ISL_2195794|2021-04-19	2021-04-19
hCoV-19/USA/WV-WVU-WV118791/2021|EPI_ISL_2195797|2021-04-19	2021-04-19
hCoV-19/England/ALDP-157F2E0/2021|EPI_ISL_2199343|2021-05-12	2021-05-12
hCoV-19/USA/WV-WVU-WV119016/2021|EPI_ISL_2204356|2021-04-23	2021-04-23
hCoV-19/USA/WV-WVU-WV119030/2021|EPI_ISL_2204389|2021-04-26	2021-04-26
hCoV-19/USA/WV-WVU-WV119028/2021|EPI_ISL_2204392|2021-04-26	2021-04-26
hCoV-19/Spain/PV-HUB-59057581/2021|EPI_ISL_2225610|2021-05-04	2021-05-04
hCoV-19/Spain/PV-HUB-59072720/2021|EPI_ISL_2225611|2021-05-08	2021-05-08
hCoV-19/Norway/11101/2021|EPI_ISL_2226117|2021-04-27	2021-04-27
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-13581/2021|EPI_ISL_2227048|2021-04-21	2021-04-21
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-13597/2021|EPI_ISL_2227064|2021-04-26	2021-04-26
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-13604/2021|EPI_ISL_2227070|2021-04-29	2021-04-29
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-13608/2021|EPI_ISL_2227074|2021-04-30	2021-04-30
hCoV-19/England/ALDP-1591D41/2021|EPI_ISL_2236373|2021-05-14	2021-05-14
hCoV-19/Ireland/D-NVRL-22IRL86134/2021|EPI_ISL_2241309|2021-05-08	2021-05-08
hCoV-19/Germany/BE-RKI-I-151749/2021|EPI_ISL_2263120|2021-05-12	2021-05-12
hCoV-19/Germany/NW-RKI-I-156161/2021|EPI_ISL_2266641|2021-05-12	2021-05-12
hCoV-19/Italy/CAL-TIGEM-IZSM-COLLI-13989/2021|EPI_ISL_2275970|2021-05-18	2021-05-18
hCoV-19/Denmark/DCGC-41879/2021|EPI_ISL_973638|2021-02-01	2021-02-01
hCoV-19/Denmark/DCGC-43246/2021|EPI_ISL_1023538|2021-02-08	2021-02-08
hCoV-19/Denmark/DCGC-43258/2021|EPI_ISL_1023550|2021-02-08	2021-02-08
hCoV-19/Denmark/DCGC-44046/2021|EPI_ISL_1024424|2021-02-01	2021-02-01
hCoV-19/Denmark/DCGC-44087/2021|EPI_ISL_1024465|2021-02-01	2021-02-01
hCoV-19/Denmark/DCGC-44100/2021|EPI_ISL_1024478|2021-02-01	2021-02-01
hCoV-19/Germany/RP-USAFSAM-S0750/2021|EPI_ISL_1091671|2021-02-04	2021-02-04
